,case number,Timestamp,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,"What was the length of the tenancy, or in other words, how long had the tenants lived at the residence in question? ",What was the monthly rent?,What was the amount of the rental deposit? ,"If any rent increases occurred, what was the rent after the increase(s)?",What was the total amount of arrears?,Over how many months did the arrears accumulate? ,"If the tenant made a payment on the arrears after the eviction notice was served and/or prior to the hearing, what was the amount of the payment? ","Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?","What were the specific mental, medical, or physical conditions of the tenant, if any? ",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenant’s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Which other specific applications of the landlord or the tenant were mentioned?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan
206,HOL-02330-18,12/28/2020 1:00:10,Sean Henry,Toronto,0,1,0,0,0,0,No relief,10.0,1595.9445741324917,2000.0,0,5240.342916006339,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,['N8'],0,0.0
207,HOL-02330-18,12/28/2020 1:00:28,Sean Henry,Toronto,0,1,0,0,0,0,No relief,10.0,1595.9445741324917,2000.0,0,5240.342916006339,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,['N8'],0,0.0
208,TSL-91302-17,12/28/2020 10:42:45,Roger Rodrigues,Toronto,1,0,0,1,0,0,Payment plan,97.0,1204.87,1365.9816966067865,0,2409.74,3.0,1,1,0,0,1,1,1,-1,1,1,0,1,1,0,[],0,1.0
209,TSL-91339-17,12/28/2020 10:49:48,Roger Rodrigues,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,1650.0,0,4828.25,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L2', 'N5']",0,0.0
210,TSL-91342-17,12/28/2020 10:57:47,Renee Lang,Toronto,1,0,0,0,0,0,No relief,6.306049004594181,1064.44,950.0,0,10272.73,38.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,[],1,0.0
211,TSL-91499-17,12/28/2020 11:04:27,Renee Lang,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1160.36,1365.9816966067865,0,5730.0,9.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,"['L1', 'L2']",0,0.0
212,TSL-91513-17,12/28/2020 11:16:56,David Mungovan,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1250.0,0,1376.3,19.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'T2', 'T6']",0,0.0
213,TSL-91920-18,12/28/2020 11:27:20,David Lee,Toronto,1,1,0,1,0,0,No relief,7.0,906.78,1365.9816966067865,0,3396.51,10.0,1,1,0,0,0,1,0,-1,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
214,TSL-92180-18,12/28/2020 11:36:02,David Lee,Toronto,0,1,0,1,0,0,Postponement of eviction,6.306049004594181,1595.9445741324917,1500.0,0,3077.0,3.0,0,0,0,1,1,0,0,-1,0,0,1,1,1,0,"['L1', 'L2']",0,0.0
215,TSL-92565-18,12/28/2020 11:46:22,David Lee,Toronto,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,863.99,0,2698.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
